timestamp,amount,is_foreign_transaction,merchant_category,device_type
2026-06-01 8:05:00,18.2,0,Grocery,Mobile
2026-06-02 12:12:00,45.6,0,Restaurant,POS
2026-06-03 17:30:00,22,0,Gas,Mobile
2026-06-04 9:00:00,60.75,0,Utilities,Desktop
2026-06-05 18:45:00,74.5,0,Retail,POS
2026-06-06 20:20:00,15.99,0,Entertainment,Mobile
2026-06-07 13:10:00,32.4,0,Restaurant,Mobile
2026-06-08 14:20:00,28.35,0,Pharmacy,Mobile
2026-06-09 8:10:00,52,0,Grocery,Desktop
2026-06-10 19:05:00,41.75,0,Gas,POS
2026-06-11 11:00:00,56.1,0,Grocery,Mobile
2026-06-12 16:40:00,89,0,Retail,POS
2026-06-13 9:30:00,12.5,0,Restaurant,Mobile
